X,Y,MACH,TEMP,Pressure,h_g,FLUX
0.0000,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0030,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0061,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0091,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0122,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0152,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0182,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0213,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0243,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0274,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0304,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0334,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0365,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0395,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0425,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0456,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0486,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0517,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0547,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0577,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0608,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0638,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0669,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0699,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0729,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0760,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0790,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0821,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0851,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0881,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0912,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0942,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0972,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1003,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1033,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1064,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1094,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1124,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1155,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1185,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1216,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1246,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1276,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1307,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1337,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1368,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1398,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1428,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1459,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1489,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1519,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1550,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1550,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1552,0.0432,0.0835,3422.1076,27.4823,1531.5066,4245501.0708
0.1554,0.0432,0.0835,3422.1064,27.4823,1531.8050,4246326.5922
0.1557,0.0432,0.0835,3422.1045,27.4822,1532.3028,4247703.5447
0.1559,0.0432,0.0836,3422.1017,27.4821,1533.0006,4249633.5574
0.1561,0.0431,0.0836,3422.0982,27.4819,1533.8991,4252118.9196
0.1563,0.0431,0.0837,3422.0938,27.4817,1534.9995,4255162.5886
0.1566,0.0431,0.0838,3422.0886,27.4815,1536.3030,4258768.2006
0.1568,0.0431,0.0839,3422.0827,27.4812,1537.8113,4262940.0839
0.1570,0.0431,0.0840,3422.0758,27.4809,1539.5262,4267683.2751
0.1572,0.0430,0.0841,3422.0682,27.4806,1541.4496,4273003.5374
0.1575,0.0430,0.0842,3422.0597,27.4802,1543.5841,4278907.3825
0.1577,0.0430,0.0844,3422.0503,27.4798,1545.9323,4285402.0955
0.1579,0.0429,0.0845,3422.0400,27.4794,1548.4970,4292495.7624
0.1581,0.0429,0.0847,3422.0289,27.4789,1551.2816,4300197.3019
0.1584,0.0428,0.0849,3422.0168,27.4784,1554.2895,4308516.5011
0.1586,0.0428,0.0851,3422.0038,27.4778,1557.5246,4317464.0543
0.1588,0.0427,0.0853,3421.9898,27.4772,1560.9912,4327051.6071
0.1590,0.0427,0.0855,3421.9748,27.4765,1564.6938,4337291.8054
0.1593,0.0426,0.0858,3421.9587,27.4758,1568.6375,4348198.3489
0.1595,0.0425,0.0860,3421.9417,27.4751,1572.8275,4359786.0510
0.1597,0.0425,0.0863,3421.9235,27.4743,1577.2697,4372070.9052
0.1599,0.0424,0.0866,3421.9042,27.4735,1581.9703,4385070.1578
0.1602,0.0423,0.0869,3421.8837,27.4726,1586.9361,4398802.3891
0.1604,0.0423,0.0872,3421.8620,27.4716,1592.1743,4413287.6029
0.1606,0.0422,0.0875,3421.8391,27.4706,1597.6928,4428547.3256
0.1608,0.0421,0.0879,3421.8149,27.4696,1603.4999,4444604.7162
0.1611,0.0420,0.0883,3421.7893,27.4685,1609.6046,4461484.6881
0.1613,0.0419,0.0887,3421.7622,27.4673,1616.0167,4479214.0450
0.1615,0.0418,0.0891,3421.7337,27.4661,1622.7467,4497821.6310
0.1617,0.0417,0.0895,3421.7037,27.4648,1629.8057,4517338.4989
0.1620,0.0416,0.0900,3421.6720,27.4634,1637.2060,4537798.0979
0.1622,0.0415,0.0904,3421.6386,27.4619,1644.9607,4559236.4828
0.1624,0.0414,0.0909,3421.6033,27.4604,1653.0838,4581692.5494
0.1626,0.0413,0.0915,3421.5662,27.4588,1661.5906,4605208.2986
0.1629,0.0411,0.0920,3421.5271,27.4571,1670.4975,4629829.1337
0.1631,0.0410,0.0926,3421.4859,27.4553,1679.8224,4655604.1965
0.1633,0.0409,0.0932,3421.4424,27.4534,1689.5847,4682586.7474
0.1635,0.0407,0.0938,3421.3966,27.4514,1699.8053,4710834.5980
0.1638,0.0406,0.0945,3421.3482,27.4493,1710.5070,4740410.6032
0.1640,0.0405,0.0952,3421.2971,27.4471,1721.7148,4771383.2245
0.1642,0.0403,0.0959,3421.2432,27.4448,1733.4557,4803827.1763
0.1644,0.0401,0.0967,3421.1861,27.4423,1745.7594,4837824.1710
0.1647,0.0400,0.0975,3421.1257,27.4397,1758.6585,4873463.7809
0.1649,0.0398,0.0983,3421.0618,27.4369,1772.1887,4910844.4397
0.1651,0.0396,0.0992,3420.9941,27.4339,1786.3895,4950074.6127
0.1653,0.0395,0.1002,3420.9222,27.4308,1801.3044,4991274.1705
0.1655,0.0393,0.1011,3420.8458,27.4275,1816.9817,5034576.0105
0.1658,0.0391,0.1022,3420.7645,27.4240,1833.4752,5080127.9815
0.1660,0.0389,0.1033,3420.6779,27.4202,1850.8450,5128095.1858
0.1662,0.0387,0.1044,3420.5854,27.4162,1869.1583,5178662.7469
0.1664,0.0384,0.1056,3420.4866,27.4119,1888.4911,5232039.1676
0.1664,0.0384,0.1056,3420.4866,27.4119,1888.4911,5232039.1676
0.1668,0.0381,0.1076,3420.3270,27.4050,1919.1742,5316740.3253
0.1671,0.0377,0.1095,3420.1600,27.3978,1950.6397,5403584.0756
0.1675,0.0374,0.1116,3419.9851,27.3902,1982.9147,5492644.0839
0.1678,0.0371,0.1137,3419.8018,27.3822,2016.0277,5583997.2056
0.1682,0.0367,0.1159,3419.6096,27.3739,2050.0087,5677723.6502
0.1685,0.0364,0.1181,3419.4080,27.3652,2084.8886,5773907.1573
0.1688,0.0360,0.1204,3419.1965,27.3560,2120.7000,5872635.1811
0.1692,0.0357,0.1227,3418.9745,27.3464,2157.4771,5973999.0873
0.1695,0.0353,0.1252,3418.7412,27.3363,2195.2555,6078094.3613
0.1699,0.0350,0.1277,3418.4960,27.3257,2234.0725,6185020.8294
0.1702,0.0347,0.1303,3418.2383,27.3145,2273.9672,6294882.8926
0.1706,0.0343,0.1329,3417.9670,27.3028,2314.9805,6407789.7755
0.1709,0.0340,0.1357,3417.6815,27.2905,2357.1555,6523855.7901
0.1712,0.0336,0.1385,3417.3808,27.2775,2400.5373,6643200.6156
0.1716,0.0333,0.1415,3417.0638,27.2638,2445.1730,6765949.5956
0.1719,0.0329,0.1445,3416.7295,27.2493,2491.1124,6892234.0535
0.1723,0.0326,0.1476,3416.3767,27.2341,2538.4076,7022191.6274
0.1726,0.0323,0.1508,3416.0042,27.2180,2587.1134,7155966.6251
0.1730,0.0319,0.1542,3415.6106,27.2011,2637.2876,7293710.4016
0.1733,0.0316,0.1576,3415.1944,27.1831,2688.9906,7435581.7591
0.1736,0.0312,0.1612,3414.7540,27.1642,2742.2865,7581747.3713
0.1740,0.0309,0.1649,3414.2876,27.1441,2797.2423,7732382.2340
0.1743,0.0306,0.1688,3413.7934,27.1228,2853.9290,7887670.1419
0.1747,0.0302,0.1727,3413.2693,27.1003,2912.4212,8047804.1940
0.1750,0.0299,0.1769,3412.7130,27.0764,2972.7978,8212987.3280
0.1754,0.0295,0.1812,3412.1221,27.0510,3035.1420,8383432.8859
0.1757,0.0292,0.1856,3411.4939,27.0241,3099.5416,8559365.2105
0.1760,0.0288,0.1902,3410.8254,26.9954,3166.0895,8741020.2738
0.1764,0.0285,0.1950,3410.1134,26.9649,3234.8839,8928646.3384
0.1767,0.0282,0.2000,3409.3543,26.9325,3306.0288,9122504.6507
0.1771,0.0278,0.2052,3408.5441,26.8978,3379.6342,9322870.1657
0.1774,0.0275,0.2106,3407.6787,26.8609,3455.8168,9530032.3013
0.1778,0.0271,0.2163,3406.7531,26.8214,3534.7001,9744295.7195
0.1781,0.0268,0.2222,3405.7622,26.7792,3616.4155,9965981.1298
0.1784,0.0264,0.2283,3404.6999,26.7340,3701.1022,10195426.1084
0.1788,0.0261,0.2347,3403.5599,26.6856,3788.9083,10432985.9235
0.1791,0.0258,0.2415,3402.3347,26.6337,3879.9911,10679034.3539
0.1795,0.0254,0.2485,3401.0163,26.5778,3974.5182,10933964.4832
0.1798,0.0251,0.2559,3399.5955,26.5178,4072.6680,11198189.4441
0.1802,0.0247,0.2636,3398.0619,26.4531,4174.6305,11472143.0817
0.1805,0.0244,0.2717,3396.4041,26.3833,4280.6084,11756280.4889
0.1808,0.0240,0.2802,3394.6088,26.3079,4390.8183,12051078.3548
0.1812,0.0237,0.2892,3392.6611,26.2263,4505.4911,12357035.0452
0.1815,0.0234,0.2987,3390.5439,26.1378,4624.8740,12674670.3028
0.1819,0.0230,0.3087,3388.2377,26.0417,4749.2314,13004524.4180
0.1822,0.0227,0.3192,3385.7199,25.9372,4878.8462,13347156.6635
0.1826,0.0223,0.3304,3382.9645,25.8231,5014.0216,13703142.7067
0.1829,0.0220,0.3423,3379.9408,25.6984,5155.0826,14073070.6031
0.1832,0.0216,0.3549,3376.6134,25.5618,5302.3780,14457534.8065
0.1836,0.0213,0.3684,3372.9398,25.4116,5456.2821,14857127.3934
0.1839,0.0210,0.3828,3368.8696,25.2460,5617.1966,15272425.3292
0.1839,0.0210,0.3828,3368.8696,25.2460,5617.1966,15272425.3292
0.1842,0.0207,0.3926,3366.0147,25.1305,5724.5928,15548077.9822
0.1844,0.0205,0.4025,3363.0717,25.0117,5830.9500,15819785.5072
0.1846,0.0203,0.4125,3360.0386,24.8899,5936.2553,16087481.1911
0.1848,0.0201,0.4225,3356.9134,24.7648,6040.4889,16351080.4637
0.1850,0.0199,0.4326,3353.6940,24.6365,6143.6254,16610483.2730
0.1853,0.0197,0.4428,3350.3785,24.5050,6245.6342,16865576.1110
0.1855,0.0196,0.4531,3346.9648,24.3701,6346.4802,17116233.7626
0.1857,0.0194,0.4634,3343.4511,24.2320,6446.1245,17362320.8364
0.1859,0.0192,0.4739,3339.8354,24.0904,6544.5244,17603693.1215
0.1862,0.0191,0.4844,3336.1158,23.9456,6641.6342,17840198.8037
0.1864,0.0189,0.4950,3332.2906,23.7973,6737.4055,18071679.5701
0.1866,0.0188,0.5057,3328.3579,23.6457,6831.7873,18297971.6222
0.1868,0.0186,0.5165,3324.3159,23.4907,6924.7266,18518906.6151
0.1871,0.0185,0.5274,3320.1629,23.3323,7016.1684,18734312.5361
0.1873,0.0184,0.5384,3315.8971,23.1704,7106.0561,18944014.5341
0.1875,0.0182,0.5495,3311.5169,23.0052,7194.3319,19147835.7071
0.1877,0.0181,0.5607,3307.0205,22.8367,7280.9365,19345597.8560
0.1880,0.0180,0.5720,3302.4065,22.6647,7365.8101,19537122.2095
0.1882,0.0179,0.5833,3297.6731,22.4894,7448.8917,19722230.1235
0.1884,0.0178,0.5948,3292.8189,22.3108,7530.1202,19900743.7597
0.1886,0.0177,0.6064,3287.8423,22.1289,7609.4339,20072486.7450
0.1889,0.0176,0.6180,3282.7420,21.9437,7686.7711,20237284.8125
0.1891,0.0175,0.6298,3277.5164,21.7553,7762.0701,20394966.4279
0.1893,0.0174,0.6417,3272.1643,21.5637,7835.2694,20545363.3982
0.1895,0.0173,0.6536,3266.6842,21.3689,7906.3080,20688311.4675
0.1898,0.0172,0.6657,3261.0750,21.1711,7975.1255,20823650.8952
0.1900,0.0171,0.6779,3255.3354,20.9701,8041.6621,20951227.0202
0.1902,0.0171,0.6901,3249.4642,20.7662,8105.8591,21070890.8081
0.1904,0.0170,0.7025,3243.4604,20.5594,8167.6587,21182499.3816
0.1907,0.0169,0.7150,3237.3228,20.3497,8227.0046,21285916.5331
0.1909,0.0168,0.7275,3231.0504,20.1371,8283.8417,21381013.2185
0.1911,0.0168,0.7402,3224.6424,19.9219,8338.1165,21467668.0311
0.1913,0.0167,0.7530,3218.0977,19.7040,8389.7773,21545767.6534
0.1916,0.0167,0.7658,3211.4156,19.4836,8438.7740,21615207.2880
0.1918,0.0166,0.7788,3204.5952,19.2606,8485.0589,21675891.0630
0.1920,0.0166,0.7919,3197.6359,19.0353,8528.5861,21727732.4142
0.1922,0.0165,0.8050,3190.5371,18.8077,8569.3119,21770654.4390
0.1925,0.0165,0.8183,3183.2980,18.5778,8607.1953,21804590.2248
0.1927,0.0164,0.8317,3175.9181,18.3459,8642.1975,21829483.1470
0.1929,0.0164,0.8452,3168.3970,18.1119,8674.2824,21845287.1384
0.1931,0.0164,0.8587,3160.7343,17.8761,8703.4166,21851966.9267
0.1934,0.0163,0.8724,3152.9296,17.6384,8729.5695,21849498.2410
0.1936,0.0163,0.8862,3144.9826,17.3991,8752.7134,21837867.9853
0.1938,0.0163,0.9001,3136.8931,17.1582,8772.8234,21817074.3780
0.1940,0.0163,0.9140,3128.6609,16.9159,8789.8780,21787127.0583
0.1943,0.0162,0.9281,3120.2859,16.6722,8803.8583,21748047.1575
0.1945,0.0162,0.9423,3111.7680,16.4273,8814.7490,21699867.3352
0.1947,0.0162,0.9566,3103.1073,16.1814,8822.5378,21642631.7809
0.1949,0.0162,0.9709,3094.3037,15.9344,8827.2156,21576396.1804
0.1952,0.0162,0.9854,3085.3575,15.6866,8828.7767,21501227.6462
0.1954,0.0162,1.0000,3076.2688,15.4381,8827.2186,21417204.7052
0.1954,0.0162,1.0000,3076.2688,15.4381,8827.2186,21417204.7052
0.1954,0.0162,1.0034,3074.1445,15.3805,8826.4133,21396500.8159
0.1955,0.0162,1.0068,3072.0125,15.3228,8825.4409,21375328.2090
0.1955,0.0162,1.0102,3069.8729,15.2652,8824.3014,21353687.7521
0.1955,0.0162,1.0136,3067.7256,15.2075,8822.9948,21331580.4132
0.1956,0.0162,1.0170,3065.5706,15.1497,8821.5213,21309007.1699
0.1956,0.0162,1.0204,3063.4078,15.0920,8819.8807,21285969.0096
0.1956,0.0162,1.0238,3061.2373,15.0342,8818.0732,21262466.9292
0.1957,0.0162,1.0273,3059.0590,14.9763,8816.0987,21238501.9350
0.1957,0.0162,1.0307,3056.8729,14.9185,8813.9573,21214075.0429
0.1957,0.0162,1.0341,3054.6790,14.8606,8811.6491,21189187.2779
0.1957,0.0162,1.0376,3052.4772,14.8027,8809.1740,21163839.6743
0.1958,0.0162,1.0410,3050.2675,14.7448,8806.5322,21138033.2756
0.1958,0.0162,1.0445,3048.0500,14.6869,8803.7236,21111769.1340
0.1958,0.0162,1.0480,3045.8245,14.6289,8800.7484,21085048.3110
0.1959,0.0162,1.0514,3043.5910,14.5710,8797.6064,21057871.8764
0.1959,0.0162,1.0549,3041.3496,14.5130,8794.2979,21030240.9090
0.1959,0.0162,1.0584,3039.1002,14.4550,8790.8228,21002156.4959
0.1960,0.0162,1.0619,3036.8428,14.3969,8787.1812,20973619.7326
0.1960,0.0162,1.0654,3034.5772,14.3389,8783.3731,20944631.7228
0.1960,0.0162,1.0689,3032.3037,14.2809,8779.3986,20915193.5782
0.1961,0.0162,1.0724,3030.0220,14.2228,8775.2578,20885306.4186
0.1961,0.0162,1.0759,3027.7321,14.1647,8770.9507,20854971.3712
0.1961,0.0163,1.0794,3025.4342,14.1066,8766.4773,20824189.5710
0.1962,0.0163,1.0829,3023.1280,14.0485,8761.8377,20792962.1602
0.1962,0.0163,1.0865,3020.8136,13.9904,8757.0320,20761290.2883
0.1962,0.0163,1.0900,3018.4909,13.9322,8752.0602,20729175.1118
0.1963,0.0163,1.0935,3016.1600,13.8741,8746.9224,20696617.7939
0.1963,0.0163,1.0971,3013.8207,13.8160,8741.6186,20663619.5044
0.1963,0.0163,1.1006,3011.4732,13.7578,8736.1490,20630181.4194
0.1964,0.0163,1.1042,3009.1172,13.6996,8730.5135,20596304.7214
0.1964,0.0163,1.1078,3006.7529,13.6415,8724.7123,20561990.5986
0.1964,0.0163,1.1114,3004.3801,13.5833,8718.7453,20527240.2448
0.1965,0.0163,1.1149,3001.9988,13.5251,8712.6127,20492054.8594
0.1965,0.0163,1.1185,2999.6091,13.4669,8706.3145,20456435.6470
0.1965,0.0163,1.1221,2997.2108,13.4088,8699.8508,20420383.8170
0.1966,0.0163,1.1257,2994.8039,13.3506,8693.2217,20383900.5835
0.1966,0.0163,1.1294,2992.3885,13.2924,8686.4272,20346987.1651
0.1966,0.0163,1.1330,2989.9644,13.2342,8679.4674,20309644.7843
0.1967,0.0163,1.1366,2987.5317,13.1760,8672.3423,20271874.6676
0.1967,0.0163,1.1402,2985.0902,13.1179,8665.0520,20233678.0448
0.1967,0.0164,1.1439,2982.6400,13.0597,8657.5967,20195056.1491
0.1968,0.0164,1.1475,2980.1810,13.0015,8649.9762,20156010.2166
0.1968,0.0164,1.1512,2977.7132,12.9433,8642.1908,20116541.4857
0.1968,0.0164,1.1548,2975.2365,12.8852,8634.2405,20076651.1974
0.1969,0.0164,1.1585,2972.7509,12.8270,8626.1253,20036340.5941
0.1969,0.0164,1.1622,2970.2564,12.7688,8617.8453,19995610.9203
0.1969,0.0164,1.1659,2967.7529,12.7107,8609.4005,19954463.4211
0.1970,0.0164,1.1696,2965.2404,12.6526,8600.7911,19912899.3428
0.1970,0.0164,1.1733,2962.7188,12.5944,8592.0171,19870919.9319
0.1970,0.0164,1.1770,2960.1882,12.5363,8583.0786,19828526.4349
0.1971,0.0164,1.1807,2957.6483,12.4782,8573.9755,19785720.0981
0.1971,0.0164,1.1807,2957.6607,12.4785,8574.0200,19785928.6557
0.1983,0.0168,1.2926,2879.6456,10.7974,8237.9558,18367722.1180
0.1996,0.0171,1.3749,2820.7037,9.6539,7926.4041,17205874.4856
0.2009,0.0174,1.4435,2770.7222,8.7634,7634.4325,16190510.5679
0.2021,0.0178,1.5037,2726.3796,8.0305,7359.6286,15281382.4152
0.2034,0.0181,1.5580,2686.0717,7.4085,7100.3077,14456735.5058
0.2046,0.0185,1.6079,2648.8709,6.8698,6855.1298,13702519.7001
0.2059,0.0188,1.6544,2614.1793,6.3966,6622.9643,13008689.2234
0.2072,0.0191,1.6979,2581.5819,5.9766,6402.8273,12367585.4877
0.2084,0.0195,1.7391,2550.7756,5.6006,6193.8467,11773112.8853
0.2097,0.0198,1.7781,2521.5295,5.2616,5995.2412,11220270.6946
0.2109,0.0201,1.8154,2493.6622,4.9544,5806.3048,10704864.7808
0.2122,0.0205,1.8511,2467.0277,4.6747,5626.3966,10223318.4746
0.2135,0.0208,1.8854,2441.5059,4.4188,5454.9317,9772542.1129
0.2147,0.0212,1.9184,2416.9963,4.1839,5291.3746,9349839.3019
0.2160,0.0215,1.9502,2393.4136,3.9677,5135.2341,8952837.2734
0.2173,0.0218,1.9810,2370.6847,3.7679,4986.0580,8579433.6887
0.2185,0.0222,2.0109,2348.7458,3.5830,4843.4291,8227755.0545
0.2198,0.0225,2.0398,2327.5413,3.4114,4706.9624,7896123.5777
0.2210,0.0229,2.0679,2307.0217,3.2517,4576.3012,7583030.3088
0.2223,0.0232,2.0953,2287.1433,3.1029,4451.1151,7287113.0732
0.2236,0.0235,2.1219,2267.8667,2.9639,4331.0973,7007138.1188
0.2248,0.0239,2.1479,2249.1567,2.8340,4215.9626,6741984.6939
0.2261,0.0242,2.1732,2230.9811,2.7122,4105.4458,6490631.9718
0.2274,0.0245,2.1980,2213.3108,2.5979,3999.2994,6252147.8759
0.2286,0.0249,2.2222,2196.1192,2.4905,3897.2929,6025679.4651
0.2299,0.0252,2.2458,2179.3820,2.3895,3799.2107,5810444.6084
0.2311,0.0256,2.2690,2163.0767,2.2943,3704.8515,5605724.7385
0.2324,0.0259,2.2917,2147.1827,2.2045,3614.0268,5410858.5124
0.2337,0.0262,2.3139,2131.6808,2.1197,3526.5600,5225236.2419
0.2349,0.0266,2.3357,2116.5532,2.0396,3442.2855,5048294.9803
0.2362,0.0269,2.3571,2101.7835,1.9637,3361.0481,4879514.1731
0.2374,0.0273,2.3781,2087.3562,1.8918,3282.7018,4718411.7940
0.2387,0.0276,2.3987,2073.2570,1.8237,3207.1094,4564540.9029
0.2400,0.0279,2.4190,2059.4724,1.7590,3134.1420,4417486.5703
0.2412,0.0283,2.4389,2045.9898,1.6976,3063.6779,4276863.1221
0.2425,0.0286,2.4584,2032.7974,1.6392,2995.6028,4142311.6653
0.2438,0.0289,2.4777,2019.8840,1.5836,2929.8087,4013497.8619
0.2450,0.0293,2.4967,2007.2391,1.5307,2866.1936,3890109.9200
0.2463,0.0296,2.5153,1994.8528,1.4802,2804.6615,3771856.7792
0.2475,0.0300,2.5337,1982.7157,1.4321,2745.1214,3658466.4671
0.2488,0.0303,2.5518,1970.8191,1.3862,2687.4873,3549684.6090
0.2501,0.0306,2.5696,1959.1545,1.3424,2631.6780,3445273.0733
0.2513,0.0310,2.5872,1947.7139,1.3005,2577.6164,3345008.7391
0.2526,0.0313,2.6045,1936.4899,1.2604,2525.2296,3248682.3730
0.2539,0.0316,2.6216,1925.4752,1.2221,2474.4484,3156097.6040
0.2551,0.0320,2.6384,1914.6631,1.1854,2425.2072,3067069.9861
0.2564,0.0323,2.6551,1904.0469,1.1503,2377.4438,2981426.1409
0.2576,0.0327,2.6715,1893.6207,1.1166,2331.0991,2899002.9712
0.2589,0.0330,2.6877,1883.3784,1.0843,2286.1168,2819646.9404
0.2602,0.0333,2.7037,1873.3144,1.0533,2242.4436,2743213.4096
0.2614,0.0337,2.7195,1863.4233,1.0235,2200.0286,2669566.0285
